flight,speed,payload,altitude,date,local_time,route,total_energy,mean_wind_speed,flight_duration
1,4.0,0.0,25,2019-04-07,10:13,non R1,78473,3.9,200.7
2,4.0,0.0,50,2019-04-07,10:23,non R1,91363,3.52,271.2
3,6.0,0.0,25,2019-04-07,10:33,non R1,61487,4.58,180.1
4,8.0,0.0,25,2019-04-07,10:48,non R1,52915,4.6,171.0
5,4.0,0.0,25,2019-04-07,11:05,non R1,68589,3.33,217.0
6,4.0,0.0,25,2019-04-07,11:18,non R1,72413,4.03,204.49
7,4.0,0.0,25,2019-05-06,15:43,non R1,77475,4.88,179.61
8,4.0,0.0,25,2019-05-06,15:56,R1,78936,2.91,233.5
10,6.0,0.0,25,2019-05-06,16:08,R1,59571,5.11,138.09
12,10.0,0.0,25,2019-05-06,16:19,R1,46745,6.0,116.21
14,12.0,250.0,25,2019-05-06,16:37,R1,51186,6.23,106.11
15,10.0,250.0,25,2019-05-06,16:42,R1,51248,5.53,113.2
16,8.0,250.0,25,2019-05-06,16:47,R1,54852,5.38,125.8
17,6.0,250.0,25,2019-05-06,16:53,R1,63138,5.03,139.09
18,4.0,250.0,25,2019-05-06,17:06,R1,83799,5.06,170.2
20,8.0,250.0,50,2019-05-06,17:18,R1,67842,4.85,140.09
23,12.0,250.0,50,2019-05-06,17:37,R1,60911,5.63,127.0
59,10.0,250.0,50,2019-06-05,15:27,R1,63532,5.76,141.1
60,12.0,250.0,75,2019-06-05,15:38,R1,69275,5.17,150.41
68,12.0,250.0,100,2019-06-05,16:54,R1,81887,4.71,171.49
76,4.0,750.0,25,2019-06-11,9:36,R1,93031,3.93,243.3
77,12.0,0.0,25,2019-06-11,9:52,R1,47999,5.76,136.3
78,6.0,0.0,50,2019-06-11,9:57,R1,68535,5.72,188.5
79,10.0,0.0,50,2019-06-11,10:05,R1,54023,5.66,156.21
80,12.0,0.0,50,2019-06-11,10:13,R1,59171,5.72,176.9
81,6.0,0.0,75,2019-06-11,10:21,R1,74863,5.83,179.0
82,8.0,0.0,75,2019-06-11,10:30,R1,67814,6.14,181.9
83,12.0,0.0,75,2019-06-11,10:36,R1,65968,5.73,178.3
84,6.0,0.0,100,2019-06-11,10:43,R1,85802,6.41,227.3
85,10.0,0.0,100,2019-06-11,10:53,R1,75499,6.4,226.5
86,12.0,0.0,100,2019-06-11,10:58,R1,71635,5.7,182.69
87,4.0,250.0,100,2019-06-11,11:09,R1,104398,5.91,250.1
88,8.0,250.0,100,2019-06-11,11:18,R1,82548,5.2,205.3
91,10.0,500.0,75,2019-06-19,16:25,R1,78648,4.61,177.39
92,12.0,500.0,75,2019-06-19,16:35,R1,78527,5.19,175.81
93,6.0,500.0,50,2019-06-19,16:45,R1,81406,4.71,181.81
94,4.0,500.0,50,2019-06-19,16:55,R1,100727,3.65,219.2
95,10.0,500.0,50,2019-06-19,17:05,R1,68589,4.07,159.7
96,6.0,500.0,75,2019-06-19,17:15,R1,91929,4.19,201.0
97,4.0,500.0,75,2019-06-19,17:25,R1,112895,3.08,236.39
98,12.0,500.0,25,2019-06-19,17:35,R1,53586,4.59,130.5
99,8.0,500.0,75,2019-06-19,17:45,R1,84749,3.8,190.7
100,12.0,500.0,50,2019-06-19,17:55,R1,66099,4.18,156.01
101,8.0,500.0,50,2019-06-19,18:05,R1,72045,3.9,164.5
102,4.0,500.0,100,2019-06-19,18:15,R1,122569,3.72,252.5
105,6.0,500.0,100,2019-06-19,18:35,R1,104240,3.75,221.1
106,10.0,500.0,100,2019-06-19,18:45,R1,91187,4.04,194.8
107,12.0,500.0,100,2019-06-19,18:55,R1,90309,3.83,194.9
108,6.0,0.0,25,2019-06-24,22:31,R1,56728,4.89,161.9
109,4.0,500.0,75,2019-06-24,10:39,R1,111294,4.54,253.9
110,4.0,0.0,75,2019-06-24,10:50,R1,91491,3.4,245.8
111,12.0,250.0,25,2019-06-24,10:59,R1,50723,4.5,135.8
112,6.0,500.0,75,2019-06-24,10:06,R1,93531,4.65,201.5
113,12.0,250.0,100,2019-06-24,11:15,R1,78596,5.3,201.2
114,10.0,0.0,75,2019-06-24,11:20,R1,67859,5.37,176.92
115,8.0,500.0,25,2019-06-24,11:28,R1,62635,5.68,148.8
116,12.0,0.0,25,2019-06-24,11:34,R1,50482,5.84,134.9
117,10.0,0.0,50,2019-06-24,11:40,R1,57309,5.69,161.0
118,4.0,250.0,100,2019-06-24,11:47,R1,109911,5.8,256.2
119,8.0,0.0,50,2019-06-24,11:54,R1,61304,4.28,199.5
120,10.0,250.0,25,2019-06-25,10:28,R1,49460,5.27,138.4
121,6.0,0.0,50,2019-06-25,10:36,R1,65719,5.21,183.1
122,10.0,500.0,75,2019-06-25,10:44,R1,76605,5.04,174.4
123,6.0,250.0,100,2019-06-25,10:50,R1,94951,6.06,215.1
124,8.0,0.0,25,2019-06-25,10:57,R1,51894,4.84,149.8
125,4.0,250.0,75,2019-06-25,11:05,R1,99324,5.31,231.61
126,4.0,500.0,100,2019-06-25,11:13,R1,130423,6.1,262.51
127,8.0,250.0,50,2019-06-25,11:21,R1,69808,4.96,163.6
128,8.0,0.0,100,2019-06-25,11:29,R1,78304,5.92,205.3
129,12.0,500.0,75,2019-06-25,11:36,R1,89170,6.67,188.3
130,10.0,500.0,50,2019-06-25,11:45,R1,70063,5.59,155.6
